name,hhmmss,time,frame,
Jack,00:45:17,2717,67925,
Paul,00:47:03,2823,70575,
Jack,00:47:04,2824,70600,
Luke,00:47:07,2827,70675,
Darty,00:47:09,2829,70725,
Paul,00:47:12,2832,70800,
Darty,00:47:15,2835,70875,
Paul,00:47:18,2838,70950,
Jack,00:47:44,2864,71600,
Luke,00:47:49,2869,71725,
Jack,00:47:57,2877,71925,
Paul,00:48:18,2898,72450,
Darty,00:48:30,2910,72750,
Luke,00:48:33,2913,72825,
Luke,00:48:56,2936,73400,
Jack,00:49:05,2945,73625,
Luke,00:49:08,2948,73700,
Paul,00:49:22,2962,74050,
Paul,00:49:40,2980,74500,
Paul,00:49:48,2988,74700,
Paul,00:50:07,3007,75175,
Paul,00:50:12,3012,75300,
Darty,00:50:28,3028,75700,
Darty,00:50:35,3035,75875,
Darty,00:51:17,3077,76925,
Paul,00:51:21,3081,77025,
Darty,00:51:34,3094,77350,
Paul,00:51:39,3099,77475,
Luke,00:51:52,3112,77800,
Jack,00:51:55,3115,77875,
Jack,00:52:05,3125,78125,
Paul,00:52:08,3128,78200,
Darty,00:52:11,3131,78275,
Jack,00:52:16,3136,78400,
Jack,00:52:28,3148,78700,
Luke,00:52:32,3152,78800,
Paul,00:52:58,3178,79450,
Darty,00:53:01,3181,79525,
Luke,00:53:04,3184,79600,
Darty,00:53:42,3222,80550,
Paul,00:54:22,3262,81550,
Luke,00:54:28,3268,81700,
Darty,00:54:31,3271,81775,
Paul,00:54:35,3275,81875,
Luke,00:54:38,3278,81950,
Darty,00:54:40,3280,82000,
Paul,00:54:44,3284,82100,
Luke,00:54:48,3288,82200,
Darty,00:54:51,3291,82275,
Paul,00:54:55,3295,82375,
Luke,00:54:58,3298,82450,
Darty,00:55:01,3301,82525,
Paul,00:55:06,3306,82650,
Luke,00:55:10,3310,82750,
Darty,00:55:14,3314,82850,
Paul,00:55:18,3318,82950,
Luke,00:55:33,3333,83325,
Darty,00:55:37,3337,83425,
Paul,00:55:42,3342,83550,
Luke,00:55:46,3346,83650,
Darty,00:55:51,3351,83775,
Paul,00:55:55,3355,83875,
Luke,00:55:59,3359,83975,
Darty,00:56:03,3363,84075,
Jack,00:56:23,3383,84575,
Luke,00:56:56,3416,85400,
Paul,00:57:00,3420,85500,
Jack,00:57:04,3424,85600,
Luke,00:57:08,3428,85700,
Paul,00:57:12,3432,85800,
Jack,00:57:17,3437,85925,
Luke,00:57:22,3442,86050,
Jack,00:57:25,3445,86125,
Paul,00:57:26,3446,86150,
Jack,00:57:30,3450,86250,
Luke,00:57:35,3455,86375,
Paul,00:57:39,3459,86475,
Jack,00:57:44,3464,86600,
Luke,00:57:48,3468,86700,
Paul,00:57:54,3474,86850,
Jack,00:57:58,3478,86950,
Luke,00:58:04,3484,87100,
Jack,00:58:06,3486,87150,
Paul,00:58:08,3488,87200,
Jack,00:58:12,3492,87300,
Luke,00:58:17,3497,87425,
Paul,00:58:21,3501,87525,
Jack,00:58:27,3507,87675,
Luke,00:58:33,3513,87825,
Paul,00:58:38,3518,87950,
Jack,00:59:38,3578,89450,
Paul,00:59:42,3582,89550,
Darty,00:59:47,3587,89675,
Jack,00:59:53,3593,89825,
Paul,00:59:57,3597,89925,
Darty,01:00:01,3601,90025,
Jack,01:00:06,3606,90150,
Paul,01:00:11,3611,90275,
Darty,01:00:16,3616,90400,
Jack,01:00:20,3620,90500,
Paul,01:00:23,3623,90575,
Darty,01:00:29,3629,90725,
Jack,01:00:35,3635,90875,
Paul,01:00:41,3641,91025,
Darty,01:00:46,3646,91150,
Jack,01:00:49,3649,91225,
Paul,01:00:55,3655,91375,
Darty,01:01:01,3661,91525,
Jack,01:01:06,3666,91650,
Paul,01:01:13,3673,91825,
Darty,01:01:17,3677,91925,
Jack,01:01:21,3681,92025,
Paul,01:01:25,3685,92125,
Darty,01:01:30,3690,92250,
Jack,01:01:35,3695,92375,
Luke,01:01:58,3718,92950,
Jack,01:02:24,3744,93600,
Darty,01:02:30,3750,93750,
Luke,01:02:35,3755,93875,
Jack,01:02:37,3757,93925,
Darty,01:02:43,3763,94075,
Luke,01:02:49,3769,94225,
Jack,01:02:55,3775,94375,
Darty,01:03:04,3784,94600,
Luke,01:03:09,3789,94725,
Jack,01:03:14,3794,94850,
Darty,01:03:20,3800,95000,
Luke,01:03:26,3806,95150,
Jack,01:03:31,3811,95275,
Darty,01:03:36,3816,95400,
Luke,01:03:40,3820,95500,
Jack,01:03:46,3826,95650,
Darty,01:03:53,3833,95825,
Luke,01:03:59,3839,95975,
Jack,01:04:04,3844,96100,
Darty,01:04:14,3854,96350,
Luke,01:04:20,3860,96500,
Luke,01:04:29,3869,96725,
Luke,01:08:50,4130,103250,
Paul,01:08:57,4137,103425,
Jack,01:09:09,4149,103725,
Luke,01:09:30,4170,104250,
Paul,01:09:39,4179,104475,
Jack,01:10:02,4202,105050,
Jack,01:10:49,4249,106225,
Jack,01:11:43,4303,107575,
Luke,01:12:29,4349,108725,
Paul,01:12:35,4355,108875,
Jack,01:12:44,4364,109100,
Jack,01:12:51,4371,109275,
Luke,01:13:01,4381,109525,
Luke,01:13:07,4387,109675,
Jack,01:13:22,4402,110050,
Darty,01:13:29,4409,110225,
Paul,01:13:39,4419,110475,
Luke,01:13:48,4428,110700,
Darty,01:13:55,4435,110875,
